Date,SPY,TLT,GLD,DBMF
2007-08-10,102.044724,47.888958,66.57,18.069852
2007-08-13,102.411392,48.028049,66.260002,18.091853
2007-08-14,100.845909,48.155998,66.290001,18.077191
2007-08-15,99.456772,47.983536,66.129997,18.069852
2007-08-16,100.204254,48.478703,64.68,17.908518
2007-08-17,102.044724,48.283943,65.010002,18.011184
2007-08-20,101.995392,48.311775,65.120003,17.959851
2007-08-21,102.199844,48.545429,65.07,17.952516
2007-08-22,103.41272,48.467567,65.400002,18.003849
2007-08-23,103.32106,48.634426,65.309998,18.062523
2007-08-24,104.597481,48.873631,66.110001,18.143192
2007-08-27,103.624306,49.129597,65.980003,18.172524
2007-08-28,101.346596,49.213028,65.589996,18.165191
2007-08-29,103.335159,49.079517,66.07,18.223859
2007-08-30,103.060196,49.407776,65.800003,18.260528
2007-08-31,104.075615,49.44669,66.519997,18.260528
2007-09-04,105.126297,49.470146,67.440002,18.333862
2007-09-05,104.216644,49.866779,67.559998,18.385199
2007-09-06,104.456375,49.738277,68.860001,18.341195
2007-09-07,103.003761,50.442131,69.389999,18.495202
2007-09-10,102.806282,50.83316,69.620003,18.539198
2007-09-11,104.005104,50.794048,70.519997,18.480532
2007-09-12,104.273064,50.604137,70.459999,18.517201
2007-09-13,105.006401,50.151611,70.080002,18.43653
2007-09-14,104.999352,50.224308,69.989998,18.443865
2007-09-17,104.435272,50.464451,70.970001,18.43653
2007-09-18,107.509743,50.084614,71.699997,18.421862
2007-09-19,108.144371,49.620979,71.43,18.311861
2007-09-20,107.382858,48.682507,72.720001,18.333862
2007-09-21,107.67263,49.095898,72.339996,18.363198
2007-09-24,107.474274,49.235531,72.279999,18.348528
2007-09-25,107.261658,49.062366,72.330002,18.370527
2007-09-26,107.828484,49.107044,72.0,18.407198
2007-09-27,108.466141,49.4478,72.699997,18.473201
2007-09-28,108.104797,49.559509,73.510002,18.473201
2007-10-01,109.323494,49.84269,73.900002,18.392528
2007-10-02,109.174652,49.999718,72.349998,18.282529
2007-10-03,108.955002,49.853947,71.900002,18.253195
2007-10-04,109.125107,50.044601,72.870003,18.311861
2007-10-05,110.421692,49.506245,73.400002,18.260528
2007-10-08,109.833557,49.466976,72.529999,18.091853
2007-10-09,110.867981,49.405323,73.089996,18.143192
2007-10-10,110.683792,49.433361,73.360001,18.231194
2007-10-11,110.15242,49.382866,73.910004,18.326529
2007-10-12,110.761719,49.141727,74.589996,18.326529
2007-10-15,109.82653,49.152966,75.139999,18.465868
2007-10-16,108.955002,49.169758,75.120003,18.465868
2007-10-17,109.288025,49.708134,74.5,18.480532
2007-10-18,108.89122,49.982937,76.0,18.619867
2007-10-19,106.043076,50.728771,75.699997,18.634535
2007-10-22,106.65947,50.734348,74.599998,18.524534
2007-10-23,107.523811,50.667076,75.230003,18.502533
2007-10-24,107.325462,51.042789,75.519997,18.575869
2007-10-25,107.580544,50.868938,76.029999,18.751873
2007-10-26,108.841667,50.751171,77.690002,18.861874
2007-10-29,109.202995,50.947464,78.120003,18.986545
2007-10-30,108.444931,50.919407,77.349998,18.84721
2007-10-31,109.571426,50.459599,78.620003,19.008546
2007-11-01,107.00663,51.115234,77.93,18.957216
2007-11-02,107.127083,51.278572,79.830002,19.089222
2007-11-05,106.312279,51.256027,79.75,19.03055
2007-11-06,107.743515,51.008163,81.43,19.169889
2007-11-07,104.796059,51.098305,82.239998,19.250558
2007-11-08,104.264687,51.008163,82.230003,19.257889
2007-11-09,102.833458,51.441887,82.18,19.331227
2007-11-12,101.81324,51.627789,78.300003,19.22855
2007-11-13,104.916527,51.43631,79.120003,19.081887
2007-11-14,104.625961,51.492603,80.279999,19.14789
2007-11-15,103.116821,51.977009,77.949997,19.14789
2007-11-16,103.293991,52.050194,77.75,19.199221
2007-11-19,101.855736,52.388195,77.239998,19.257889
2007-11-20,102.479248,52.331844,79.470001,19.433893
2007-11-21,100.382057,52.63596,79.360001,19.499896
2007-11-23,102.117889,52.793736,81.25,19.580565
2007-11-26,99.864799,53.83572,81.300003,19.624567
2007-11-27,101.012589,53.323166,80.099998,19.465409
2007-11-28,104.243439,52.962673,79.57,19.311389
2007-11-29,104.278847,53.418926,78.279999,19.296721
2007-11-30,105.327438,53.15984,77.32,19.120694
2007-12-03,104.633072,53.581654,78.279999,19.223375
2007-12-04,103.697876,53.576042,79.400002,19.274718
2007-12-05,105.433708,52.937027,78.629997,19.194041
2007-12-06,106.942833,52.473297,79.370003,19.260048
2007-12-07,106.9216,51.885193,78.599998,19.164703
2007-12-10,107.750534,51.574169,80.0,19.201372
2007-12-11,104.796059,52.586407,78.839996,19.34073
2007-12-12,105.830482,52.043522,80.489998,19.546089
2007-12-13,105.610832,51.478024,78.5,19.42874
2007-12-14,104.271782,51.240532,78.519997,19.304054
2007-12-17,102.783882,51.69857,78.129997,19.34073
2007-12-18,103.35778,52.032207,79.25,19.304054
2007-12-19,103.35778,52.722134,79.239998,19.362729
2007-12-20,104.009613,52.609009,78.669998,19.34073
2007-12-21,105.508942,51.839958,80.099998,19.355389
2007-12-24,106.292427,51.596775,80.139999,19.355389
2007-12-26,106.520401,51.144333,81.519997,19.465409
2007-12-27,105.181282,51.70192,81.559998,19.55342
2007-12-28,104.917747,52.508171,83.0,19.626766
2007-12-31,104.141373,52.826077,82.459999,19.634101
2008-01-02,103.22966,53.586922,84.860001,19.956813
2008-01-03,103.179848,53.513142,85.57,19.956813
2008-01-04,100.651253,53.524475,85.129997,19.971479
2008-01-07,100.565781,53.757252,84.769997,19.839465
2008-01-08,98.94178,53.694839,86.779999,19.890802
2008-01-09,99.981712,53.796986,86.550003,19.898139
2008-01-10,100.637054,53.070255,88.25,19.8468
2008-01-11,99.825005,53.484745,88.580002,19.898139
2008-01-14,100.629929,53.683475,89.540001,19.993487
2008-01-15,98.414719,54.285316,87.989998,19.942147
2008-01-16,97.567116,53.893555,86.699997,19.861468
2008-01-17,95.038528,54.591904,86.5,19.839465
2008-01-18,94.062744,54.217178,87.419998,19.817462
2008-01-22,93.108307,54.796345,88.169998,19.744117
2008-01-23,95.344864,54.671394,87.889999,19.590093
2008-01-24,96.149712,53.575581,90.080002,19.751452
2008-01-25,94.760742,54.478363,90.300003,19.861468
2008-01-28,96.327751,54.273964,91.75,19.920142
2008-01-29,96.804962,53.90493,91.150002,19.883471
